layer,fuzzy_string,rename,format,yearStart,yearEnd,aggregation,total_bands,bands,description,source
fluvial_2050_ssp3,fluvial_2050_ssp3.tif$,fluvial_flood_2050_ssp3,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2050 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
fluvial_2050_ssp5,fluvial_2050_ssp5.tif$,fluvial_flood_2050_ssp5,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2050 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
fluvial_2080_ssp1,fluvial_2080_ssp1.tif$,fluvial_flood_2080_ssp1,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2080 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
fluvial_2080_ssp2,fluvial_2080_ssp2.tif$,fluvial_flood_2080_ssp2,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2080 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
fluvial_2080_ssp3,fluvial_2080_ssp3.tif$,fluvial_flood_2080_ssp3,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2080 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
fluvial_2080_ssp5,fluvial_2080_ssp5.tif$,fluvial_flood_2080_ssp5,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2080 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial,pluvial_2020.tif$,pluvial_flood,raster,2020,2020,return period,4,"max_probability, r10, r100, r1000",Pluvial (surface-water) flood return period. Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment,Fathom
pluvial_2050_ssp1,pluvial_2050_ssp1.tif$,pluvial_flood_2050_ssp1,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2050 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial_2050_ssp2,pluvial_2050_ssp2.tif$,pluvial_flood_2050_ssp2,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2050 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial_2050_ssp3,pluvial_2050_ssp3.tif$,pluvial_flood_2050_ssp3,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2050 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial_2050_ssp5,pluvial_2050_ssp5.tif$,pluvial_flood_2050_ssp5,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2050 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial_2080_ssp1,pluvial_2080_ssp1.tif$,pluvial_flood_2080_ssp1,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2080 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial_2080_ssp2,pluvial_2080_ssp2.tif$,pluvial_flood_2080_ssp2,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2080 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial_2080_ssp3,pluvial_2080_ssp3.tif$,pluvial_flood_2080_ssp3,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2080 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
pluvial_2080_ssp5,pluvial_2080_ssp5.tif$,pluvial_flood_2080_ssp5,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Pluvial (surface-water) flood return period, 2080 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal,coastal_2020.tif$,coastal_flood,raster,2020,2020,return period,4,"max_probability, r10, r100, r1000",Coastal flood return period. Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment,Fathom
coastal_2050_ssp1,coastal_2050_ssp1.tif$,coastal_flood_2050_ssp1,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2050 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal_2050_ssp2,coastal_2050_ssp2.tif$,coastal_flood_2050_ssp2,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2050 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal_2050_ssp3,coastal_2050_ssp3.tif$,coastal_flood_2050_ssp3,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2050 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal_2050_ssp5,coastal_2050_ssp5.tif$,coastal_flood_2050_ssp5,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2050 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal_2080_ssp1,coastal_2080_ssp1.tif$,coastal_flood_2080_ssp1,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2080 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal_2080_ssp2,coastal_2080_ssp2.tif$,coastal_flood_2080_ssp2,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2080 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal_2080_ssp3,coastal_2080_ssp3.tif$,coastal_flood_2080_ssp3,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2080 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
coastal_2080_ssp5,coastal_2080_ssp5.tif$,coastal_flood_2080_ssp5,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Coastal flood return period, 2080 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
combined_flooding,comb_2020.tif$,combined_flood,raster,2020,2020,return period,4,"max_probability, r10, r100, r1000",Combined flood return period. Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment,Fathom
comb_2050_ssp1,comb_2050_ssp1.tif$,combined_flood_2050_ssp1,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2050 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
comb_2050_ssp2,comb_2050_ssp2.tif$,combined_flood_2050_ssp2,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2050 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
comb_2050_ssp3,comb_2050_ssp3.tif$,combined_flood_2050_ssp3,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2050 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
comb_2050_ssp5,comb_2050_ssp5.tif$,combined_flood_2050_ssp5,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2050 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
comb_2080_ssp1,comb_2080_ssp1.tif$,combined_flood_2080_ssp1,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2080 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
comb_2080_ssp2,comb_2080_ssp2.tif$,combined_flood_2080_ssp2,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2080 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
comb_2080_ssp3,comb_2080_ssp3.tif$,combined_flood_2080_ssp3,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2080 (SSP3-7.0). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
comb_2080_ssp5,comb_2080_ssp5.tif$,combined_flood_2080_ssp5,raster,2080,2080,return period,4,"max_probability, r10, r100, r1000","Combined flood return period, 2080 (SSP5-8.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
elevation,elevation.tif$,elevation,raster,,,,1,,Elevation. Meters above sea level (MASL),FABDEM V1-2
slope,slope.tif$,slope,raster,,,,1,,Slope. Angle of hillside in degrees,USGS EROS Archive – Digital Elevation
landslides,landslide-edit.tif$,landslide_susceptibility,raster,,,,1,,Landslide susceptibility,NASA Landslide Susceptibility Map
liquefaction,liquefaction-edit.tif$,liquefaction_susceptibility,raster,,,,1,,Liquefaction susceptibility. Proneness to liquefaction given the occurrence of a trigger event,Zorn & Koks (2019)
roads,edges-edit.gpkg,road_criticality,vector,,,,,,"Road network segment criticality, measured by betweenness: the percentage of all shortest intersection-to-intersection trips that use each segment",OpenStreetMap
roads_network,major_roads.gpkg,road_network,vector,,,,,,Road network. All mapped roads,OpenStreetMap
burnable,burn-edit.tif$,burnability_factor,raster,2020,2020,annual,1,,Burnability factor,ESA Land Cover CCI; Gannon et al. (2021)
burnt_area,burnt-area-density.tif,fire_history,raster,,,cumulative,1,,History of fire,Global Wildfire Information System
drought,ndmi_season.*.tif$,moisture_ndmi,raster,2013,2025,seasonal composite,1,,Moisture. Normalized difference moisture index (NDMI),USGS Landsat
coastal_erosion_snap,shoreline_snap.fgb$,coastline_change_snapped,vector,1984,2016,multi-year average,,,"Coastline change (snapped to AOI). Average meters per year; positive is accretion, negative is erosion","Delft University of Technology, Long-term Shoreline Changes"
coastal_erosion_baseline,shoreline_baseline.fgb$,coastline_change_baseline,vector,1984,2016,multi-year average,,,"Coastline change (transect baseline). Average meters per year; positive is accretion, negative is erosion","Delft University of Technology, Long-term Shoreline Changes"
transect_coastline,transect_coastline.fgb$,transect_coastline,vector,1984,2016,,,,Transect coastline baseline. Coastline derived from transect intersection points,"Delft University of Technology, Long-term Shoreline Changes"
seismic_hazard,seismic_hazard.tif$,seismic_hazard,raster,2023,2023,probabilistic,1,,Seismic hazard. Peak ground acceleration (PGA). Probabilistic earthquake risk; at this scale it does not address the vulnerability of individual structures or sub-regions,"Silva et al. (2023), Global Earthquake Model (GEM) V2023.1"
water_risk_overall,water_risk.geojson$,water_risk,vector,,,baseline,,"overall, quantity, groundwater, depletion","Water risk (WRI Aqueduct v4): overall risk, physical quantity risk, groundwater table decline, and water depletion (ratio of consumption to supply). See attributes/bands",WRI Aqueduct v4
slr_1_10m,slr_1_10m.tif$,slr_exposure,raster,,,scenario projection,1,,Sea level rise exposure. Minimum sea level rise causing inundation,Climate Central Flood Layers v2.0
slr_ssp245_50_hightide,slr_ssp245_50.0_hightide.tif$,slr_ssp245_50_hightide,raster,,,scenario projection,1,,"Sea level rise projection. SSP2-4.5, 50th percentile, high tide. SSP2-4.5 (intermediate emissions, ~2.7°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp245_50_RL1,slr_ssp245_50.0_RL1.tif$,slr_ssp245_50_RL1,raster,,,scenario projection,1,,"Sea level rise projection. SSP2-4.5, 50th percentile, 1-year flood. SSP2-4.5 (intermediate emissions, ~2.7°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp245_50_RL10,slr_ssp245_50.0_RL10.tif$,slr_ssp245_50_RL10,raster,,,scenario projection,1,,"Sea level rise projection. SSP2-4.5, 50th percentile, 10-year flood. SSP2-4.5 (intermediate emissions, ~2.7°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp245_83_hightide,slr_ssp245_83.3_hightide.tif$,slr_ssp245_83_hightide,raster,,,scenario projection,1,,"Sea level rise projection. SSP2-4.5, 83rd percentile, high tide. SSP2-4.5 (intermediate emissions, ~2.7°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp245_83_RL1,slr_ssp245_83.3_RL1.tif$,slr_ssp245_83_RL1,raster,,,scenario projection,1,,"Sea level rise projection. SSP2-4.5, 83rd percentile, 1-year flood. SSP2-4.5 (intermediate emissions, ~2.7°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp245_83_RL10,slr_ssp245_83.3_RL10.tif$,slr_ssp245_83_RL10,raster,,,scenario projection,1,,"Sea level rise projection. SSP2-4.5, 83rd percentile, 10-year flood. SSP2-4.5 (intermediate emissions, ~2.7°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp585_50_hightide,slr_ssp585_50.0_hightide.tif$,slr_ssp585_50_hightide,raster,,,scenario projection,1,,"Sea level rise projection. SSP5-8.5, 50th percentile, high tide. SSP5-8.5 (high emissions, ~4.4°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp585_50_RL1,slr_ssp585_50.0_RL1.tif$,slr_ssp585_50_RL1,raster,,,scenario projection,1,,"Sea level rise projection. SSP5-8.5, 50th percentile, 1-year flood. SSP5-8.5 (high emissions, ~4.4°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp585_50_RL10,slr_ssp585_50.0_RL10.tif$,slr_ssp585_50_RL10,raster,,,scenario projection,1,,"Sea level rise projection. SSP5-8.5, 50th percentile, 10-year flood. SSP5-8.5 (high emissions, ~4.4°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp585_83_hightide,slr_ssp585_83.3_hightide.tif$,slr_ssp585_83_hightide,raster,,,scenario projection,1,,"Sea level rise projection. SSP5-8.5, 83rd percentile, high tide. SSP5-8.5 (high emissions, ~4.4°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp585_83_RL1,slr_ssp585_83.3_RL1.tif$,slr_ssp585_83_RL1,raster,,,scenario projection,1,,"Sea level rise projection. SSP5-8.5, 83rd percentile, 1-year flood. SSP5-8.5 (high emissions, ~4.4°C by 2100)",Climate Central Flood Layers v2.0
slr_ssp585_83_RL10,slr_ssp585_83.3_RL10.tif$,slr_ssp585_83_RL10,raster,,,scenario projection,1,,"Sea level rise projection. SSP5-8.5, 83rd percentile, 10-year flood. SSP5-8.5 (high emissions, ~4.4°C by 2100)",Climate Central Flood Layers v2.0
